#qacc	species	evalue	length	pident	qcovs	slen	seq.id	sallacc
AVR58_00040	L. sainthelensi	2.37E-24	253	33.992	82	309	AUH71386.1 hypothetical protein CAB17_04385 	AUH71386.1
AVR58_00040	L. gratiana	4.32E-57	220	47.273	82	309	STX40704.1 Uncharacterised protein 	STX40704.1
AVR58_00040	L. gratiana	4.65E-24	194	38.66	82	309	STX40704.1 Uncharacterised protein 	STX40704.1
AVR58_00040	L. wadsworthii	4.97E-56	282	39.007	82	334	STY27849.1 Uncharacterised protein 	STY27849.1
AVR58_00040	L. wadsworthii	3.10E-25	188	35.638	82	334	STY27849.1 Uncharacterised protein 	STY27849.1
AVR58_00040	L. fallonii LLAP-10	1.07E-54	221	42.081	81	325	CEG55499.1 protein of unknown function 	CEG55499.1
AVR58_00040	L. fallonii LLAP-10	1.11E-30	246	32.114	81	325	CEG55499.1 protein of unknown function 	CEG55499.1
AVR58_00040	L. longbeachae NSW150	1.04E-53	221	45.701	82	309	CBJ10336.1 hypothetical protein LLO_0015 	CBJ10336.1
AVR58_00040	L. longbeachae NSW150	9.08E-24	220	35.455	82	309	CBJ10336.1 hypothetical protein LLO_0015 	CBJ10336.1
AVR58_00040	L. drancourtii LLAP12	9.13E-47	241	42.324	57	290	EHL32527.1 hypothetical protein LDG_5484 	EHL32527.1
AVR58_00040	L. lytica	1.80E-40	241	37.759	88	304	USQ13778.1 hypothetical protein J2N86_00045 	USQ13778.1
AVR58_00040	L. lytica	3.43E-24	176	38.068	88	304	USQ13778.1 hypothetical protein J2N86_00045 	USQ13778.1
AVR58_00040	L. beliardensis	3.02E-28	224	32.143	86	406	STX30154.1 Uncharacterised protein 	STX30154.1
AVR58_00040	L. beliardensis	2.05E-07	205	27.805	86	406	STX30154.1 Uncharacterised protein 	STX30154.1
AVR58_00040	L. spiritensis	2.33E-27	203	34.483	47	322	VEG91598.1 Uncharacterised protein 	VEG91598.1
AVR58_00040	L. busanensis	1.11E-24	192	31.25	46	353	STX50039.1 Uncharacterised protein 	STX50039.1
AVR58_00040	L. oakridgensis	1.29E-23	154	35.714	37	201	KTD38299.1 hypothetical protein Loak_1975 	KTD38299.1
AVR58_00040	L. feeleii	3.98E-21	220	30.909	80	310	STX36872.1 Uncharacterised protein 	STX36872.1
AVR58_00040	L. feeleii	9.30E-05	146	28.082	80	310	STX36872.1 Uncharacterised protein 	STX36872.1
AVR58_00040	L. israelensis	3.94E-19	139	38.129	67	230	QDP71321.1 hypothetical protein FOG18_01375 	QDP71321.1
AVR58_00040	L. israelensis	1.12E-08	157	30.573	67	230	QDP71321.1 hypothetical protein FOG18_01375 	QDP71321.1
AVR58_00040	L. donaldsonii	1.08E-16	221	28.507	80	310	STX40273.1 Uncharacterised protein 	STX40273.1
AVR58_00040	L. donaldsonii	0.001	135	25.185	80	310	STX40273.1 Uncharacterised protein 	STX40273.1
AVR58_00040	L. jordanis	5.34E-13	225	28	77	302	VEH11193.1 Uncharacterised protein 	VEH11193.1
AVR58_00040	L. jordanis	4.04E-07	177	25.989	77	302	VEH11193.1 Uncharacterised protein 	VEH11193.1
AVR58_00040	L. clemsonensis	8.06E-12	175	27.429	56	207	ASQ47496.1 hypothetical protein clem_14855 	ASQ47496.1
AVR58_00040	L. clemsonensis	0.001	139	25.18	56	207	ASQ47496.1 hypothetical protein clem_14855 	ASQ47496.1
AVR58_00040	L. lansingensis	1.30E-11	276	30.072	60	297	SNV43135.1 Uncharacterised protein 	SNV43135.1
AVR58_00040	L. jamestowniensis DSM 19215	5.54E-11	163	26.38	38	204	SFL61260.1 hypothetical protein SAMN02746073_1041 	SFL61260.1
AVR58_00040	L. erythra	7.23E-11	141	30.496	33	207	KTC94650.1 hypothetical protein Lery_2817 	KTC94650.1
AVR58_00040	L. birminghamensis	9.88E-11	165	32.121	37	382	STX30252.1 Uncharacterised protein 	STX30252.1
AVR58_00040	L. brunensis	3.31E-08	153	26.797	36	214	KTC84933.1 hypothetical protein Lbru_1148 	KTC84933.1
AVR58_00040	L. cardiaca	3.49E-08	152	26.974	36	216	WED42915.1 hypothetical protein PXX05_13585 	WED42915.1
AVR58_00040	L. taurinensis	4.94E-07	163	26.994	35	207	STY24654.1 Uncharacterised protein 	STY24654.1
AVR58_00040	L. hackeliae	8.56E-07	163	24.54	38	210	CEK09133.1 protein of unknown function 	CEK09133.1
AVR58_00060	L. pneumophila	0	525	100	100	525	AOU47717.1 type IV secretion protein Dot 	AOU47717.1
AVR58_00060	L. shakespearei DSM 23087	0	520	70.385	99	542	KTD64150.1 Dot/Icm secretion system substrate 	KTD64150.1
AVR58_00060	L. quateirensis	0	527	68.88	99	527	STY16235.1 Dot/Icm T4SS effector 	STY16235.1
AVR58_00060	L. sp. 27fs60	0	527	68.311	99	527	MBL7481558.1 type IV secretion protein Dot 	MBL7481558.1
AVR58_00060	L. moravica	0	509	68.566	97	527	STX61112.1 Dot/Icm T4SS effector 	STX61112.1
AVR58_00060	L. waltersii	0	527	66.793	100	526	SNU93768.1 Dot/Icm T4SS effector 	SNU93768.1
AVR58_00060	L. hackeliae	0	534	56.554	99	534	CEK09143.1 substrate of the Dot/Icm secretion sytem 	CEK09143.1
AVR58_00060	L. clemsonensis	0	531	55.744	99	534	ASQ47488.1 hypothetical protein clem_14815 	ASQ47488.1
AVR58_00060	L. brunensis	0	519	56.455	97	530	KTC84926.1 Dot/Icm secretion system substrate 	KTC84926.1
AVR58_00060	L. cardiaca	0	528	54.735	99	528	WED42909.1 type IV secretion protein Dot 	WED42909.1
AVR58_00060	L. jordanis	0	517	54.545	97	529	VEH11202.1 Dot/Icm T4SS effector 	VEH11202.1
AVR58_00060	L. jamestowniensis DSM 19215	0	530	56.226	99	535	SFL61403.1 hypothetical protein SAMN02746073_1052 	SFL61403.1
AVR58_00060	L. taurinensis	0	519	51.445	99	518	STY24659.1 Dot/Icm T4SS effector 	STY24659.1
AVR58_00060	L. erythra	0	526	53.042	99	546	KTC94655.1 Dot/Icm secretion system substrate 	KTC94655.1
AVR58_00060	L. spiritensis	0	489	53.579	92	524	VEG91602.1 Dot/Icm T4SS effector 	VEG91602.1
AVR58_00060	L. fallonii LLAP-10	6.10E-175	544	48.162	99	550	CEG56508.1 substrate of the Dot/Icm secretion sytem 	CEG56508.1
AVR58_00060	L. steelei	1.41E-174	533	48.593	98	537	KTD71461.1 Dot/Icm secretion system substrate 	KTD71461.1
AVR58_00060	L. qingyii	4.90E-170	531	46.704	98	538	RUR23666.1 hypothetical protein ELY20_06565 	RUR23666.1
AVR58_00060	L. drancourtii LLAP12	5.58E-170	541	48.244	99	537	EHL32348.1 hypothetical protein LDG_5732 	EHL32348.1
AVR58_00060	L. wadsworthii	9.88E-169	536	47.201	99	540	STY31037.1 Dot/Icm T4SS effector 	STY31037.1
AVR58_00060	L. steigerwaltii	1.66E-168	531	46.139	98	537	STY21760.1 Dot/Icm T4SS effector 	STY21760.1
AVR58_00060	L. bozemanae	2.55E-167	530	47.736	98	535	STO35248.1 Uncharacterised protein 	STO35248.1
AVR58_00060	L. anisa	1.93E-165	534	47.94	99	535	AWN75559.1 hypothetical protein DLD14_17910 	AWN75559.1
AVR58_00060	L. parisiensis	2.43E-164	525	48	97	534	STX77653.1 Dot/Icm T4SS effector 	STX77653.1
AVR58_00060	L. sp. HCPI-6	2.31E-162	545	45.872	99	537	MCL9684343.1 hypothetical protein LOX96_09580 	MCL9684343.1
AVR58_00060	L. massiliensis	3.90E-161	533	45.591	99	534	CEE14113.1 hypothetical protein BN1094_02685 	CEE14113.1
AVR58_00060	L. lytica	3.03E-150	534	44.569	99	537	USQ14691.1 hypothetical protein J2N86_05140 	USQ14691.1
AVR58_00060	L. clemsonensis	1.57E-109	545	37.798	98	541	ASQ46604.1 hypothetical protein clem_10275 	ASQ46604.1
AVR58_00060	L. oakridgensis	7.59E-109	484	40.289	87	555	KTD38687.1 Dot/Icm secretion system substrate 	KTD38687.1
AVR58_00060	L. jamestowniensis DSM 19215	1.95E-104	462	39.827	83	537	SFM03521.1 hypothetical protein SAMN02746073_0059 	SFM03521.1
AVR58_00060	L. hackeliae	4.25E-102	545	34.862	98	540	CEK09569.1 conserved protein of unknown function 	CEK09569.1
AVR58_00060	L. donaldsonii	1.77E-101	469	39.232	83	550	STX41220.1 Dot/Icm T4SS effector 	STX41220.1
AVR58_00060	L. jordanis	1.38E-99	516	35.465	91	535	VEH11766.1 Dot/Icm T4SS effector 	VEH11766.1
AVR58_00060	L. cardiaca	6.79E-99	482	38.174	86	548	WED43493.1 hypothetical protein PXX05_01595 	WED43493.1
AVR58_00060	L. massiliensis	4.71E-98	473	38.266	85	548	CEE13538.1 hypothetical protein BN1094_02090 	CEE13538.1
AVR58_00060	L. feeleii	8.45E-98	522	36.015	93	551	STX39222.1 Dot/Icm T4SS effector 	STX39222.1
AVR58_00060	L. sainthelensi	3.27E-96	527	36.243	92	551	AUH71716.1 hypothetical protein CAB17_06290 	AUH71716.1
AVR58_00060	L. cincinnatiensis	3.72E-96	524	35.496	91	553	STX33845.1 Dot/Icm T4SS effector 	STX33845.1
AVR58_00060	L. micdadei	5.34E-96	459	39.869	82	533	CEG61920.1 conserved protein of unknown function 	CEG61920.1
AVR58_00060	L. israelensis	5.36E-96	499	37.475	87	559	QDP72434.1 hypothetical protein FOG18_07610 	QDP72434.1
AVR58_00060	L. maceachernii	3.44E-95	456	39.912	83	532	SUP00792.1 Uncharacterised protein 	SUP00792.1
AVR58_00060	L. longbeachae NSW150	9.74E-95	544	34.926	96	547	CBJ10763.1 hypothetical protein LLO_0432 	CBJ10763.1
AVR58_00060	L. spiritensis	2.55E-92	548	35.766	97	541	VEG92287.1 Dot/Icm T4SS effector 	VEG92287.1
AVR58_00060	L. busanensis	3.26E-90	517	35.783	90	564	STX52624.1 Dot/Icm T4SS effector 	STX52624.1
AVR58_00060	L. nautarum	1.17E-89	499	37.275	90	536	KTD38842.1 Dot/Icm secretion system substrate 	KTD38842.1
AVR58_00060	L. erythra	4.79E-85	537	33.892	97	528	KTC98884.1 Dot/Icm secretion system substrate 	KTC98884.1
AVR58_00060	L. taurinensis	5.69E-84	546	32.967	99	530	STY26925.1 Dot/Icm T4SS effector 	STY26925.1
AVR58_00060	L. sp. HCPI-6	1.08E-09	238	28.992	44	424	MCL9683359.1 phospholipase 	MCL9683359.1
AVR58_00060	L. pneumophila	1.99E-09	335	23.582	61	423	AOU48169.1 phospholipase 	AOU48169.1
AVR58_00060	L. antarctica	2.99E-09	209	28.23	40	423	BCA94176.1 phosphatidylcholine hydrolyzing phospholipase 	BCA94176.1
AVR58_00060	L. busanensis	6.73E-08	392	22.704	68	404	STX81331.1 phospholipase C 	STX81331.1
AVR58_00060	L. shakespearei DSM 23087	1.24E-07	336	24.405	61	417	KTD60978.1 phospholipase C 	KTD60978.1
AVR58_00060	L. quateirensis	1.78E-07	203	25.123	38	423	STY16642.1 phosphatidylcholine hydrolyzing phospholipase 	STY16642.1
AVR58_00060	L. beliardensis	1.89E-07	395	23.038	73	406	STX28858.1 phospholipase C 	STX28858.1
AVR58_00060	L. fallonii LLAP-10	2.31E-07	202	25.248	38	422	CEG57997.1 conserved exported protein of unknown function 	CEG57997.1
AVR58_00060	L. norrlandica	2.39E-07	313	23.642	58	423	KGP63073.1 phosphatidylcholine-hydrolyzing phospholipase 	KGP63073.1
AVR58_00060	L. moravica	2.40E-07	362	23.204	65	417	STX62854.1 phospholipase C 	STX62854.1
AVR58_00060	L. sp. 27fs60	2.80E-07	203	25.123	38	423	MBL7479655.1 phospholipase 	MBL7479655.1
AVR58_00060	L. pneumophila	3.87E-07	215	26.512	40	418	AOU49018.1 phospholipase 	AOU49018.1
AVR58_00060	L. israelensis	4.64E-07	323	22.601	58	413	QDP72684.1 phospholipase 	QDP72684.1
AVR58_00060	L. longbeachae NSW150	5.20E-07	241	25.726	45	405	CBJ11690.1 putative phospholipase C 	CBJ11690.1
AVR58_00060	L. norrlandica	9.23E-07	322	23.292	59	418	KGP64412.1 phospholipase C 	KGP64412.1
AVR58_00060	L. gratiana	1.35E-06	204	26.961	38	405	STX45236.1 phospholipase C 	STX45236.1
AVR58_00060	L. sainthelensi	5.81E-06	241	25.311	45	405	AUH72521.1 phospholipase 	AUH72521.1
AVR58_00060	L. santicrucis	9.58E-06	204	26.471	38	405	KTD53796.1 phospholipase C 	KTD53796.1
AVR58_00060	L. cincinnatiensis	1.68E-05	205	25.854	38	405	STX35570.1 phospholipase C 	STX35570.1
AVR58_00060	L. spiritensis	2.18E-05	187	25.134	35	429	VEG91713.1 phosphatidylcholine hydrolyzing phospholipase 	VEG91713.1
AVR58_00060	L. sp. 27fs60	3.31E-05	323	23.22	59	417	MBL7479307.1 phospholipase 	MBL7479307.1
AVR58_00060	L. quateirensis	3.40E-04	327	24.159	59	417	STY17942.1 phospholipase C 	STY17942.1
AVR58_00105	L. pneumophila	3.25E-112	159	100	100	159	AOU47725.1 hypothetical protein A9E85_00105 	AOU47725.1
AVR58_00105	L. quateirensis	7.44E-94	158	81.646	99	159	STY16242.1 alpha helix protein 	STY16242.1
AVR58_00105	L. shakespearei DSM 23087	1.29E-93	159	82.39	100	159	KTD64156.1 alpha helix protein 	KTD64156.1
AVR58_00105	L. sp. 27fs60	1.71E-93	158	81.646	99	159	MBL7481552.1 ribosome-associated protein 	MBL7481552.1
AVR58_00105	L. norrlandica	1.89E-91	159	81.132	100	159	KGP63798.1 hypothetical protein EP47_06165 	KGP63798.1
AVR58_00105	L. sp. HCPI-6	5.42E-91	159	79.245	100	159	MCL9683143.1 ribosome-associated protein 	MCL9683143.1
AVR58_00105	L. moravica	5.72E-91	158	80.38	99	159	STX61117.1 alpha helix protein 	STX61117.1
AVR58_00105	L. antarctica	1.91E-90	159	78.616	100	159	BCA93963.1 hypothetical protein TUM19329_03240 	BCA93963.1
AVR58_00105	L. steelei	1.45E-89	159	78.616	100	159	KTD69498.1 alpha helix protein 	KTD69498.1
AVR58_00105	L. parisiensis	2.26E-87	159	77.987	100	159	STX71540.1 alpha helix protein 	STX71540.1
AVR58_00105	L. steigerwaltii	5.42E-87	159	76.73	100	159	STY21461.1 alpha helix protein 	STY21461.1
AVR58_00105	L. gratiana	2.25E-85	158	74.051	99	159	STX40763.1 alpha helix protein 	STX40763.1
AVR58_00105	L. fallonii LLAP-10	3.53E-85	159	74.843	100	159	CEG55514.1 conserved protein of unknown function 	CEG55514.1
AVR58_00105	L. worsleiensis	1.23E-84	158	73.418	99	159	STY32177.1 alpha helix protein 	STY32177.1
AVR58_00105	L. waltersii	1.75E-83	159	72.327	100	159	SNU93853.1 alpha helix protein 	SNU93853.1
AVR58_00105	L. drancourtii LLAP12	5.72E-82	158	80.38	99	159	EHL32517.1 hypothetical protein LDG_5473 	EHL32517.1
AVR58_00105	L. lytica	7.86E-82	158	81.013	99	159	USQ13789.1 ribosome-associated protein 	USQ13789.1
AVR58_00105	L. feeleii	1.69E-79	158	72.152	99	158	STX36880.1 alpha helix protein 	STX36880.1
AVR58_00105	L. wadsworthii	2.17E-79	158	78.481	99	159	STY27862.1 alpha helix protein 	STY27862.1
AVR58_00105	L. donaldsonii	5.16E-79	158	71.519	99	158	STX40281.1 alpha helix protein 	STX40281.1
AVR58_00105	L. qingyii	2.42E-78	159	76.101	100	159	RUR23085.1 ribosome-associated protein 	RUR23085.1
AVR58_00105	L. bozemanae	2.89E-78	158	77.215	99	159	STO32396.1 x96 protein 	STO32396.1
AVR58_00105	L. anisa	3.44E-78	158	77.215	99	159	AWN72846.1 ribosome-associated protein 	AWN72846.1
AVR58_00105	L. santicrucis	4.47E-78	158	75.949	99	159	KTD53535.1 alpha helix protein 	KTD53535.1
AVR58_00105	L. cincinnatiensis	4.62E-77	158	74.051	99	159	STX33467.1 alpha helix protein 	STX33467.1
AVR58_00105	L. cardiaca	1.82E-76	158	68.354	99	159	WED42904.1 ribosome biogenesis factor YjgA 	WED42904.1
AVR58_00105	L. longbeachae NSW150	1.94E-76	158	74.684	99	159	CBJ10371.1 putative conserved hypothetical protein 	CBJ10371.1
AVR58_00105	L. sainthelensi	5.37E-76	156	74.359	98	159	AUH71411.1 ribosome-associated protein 	AUH71411.1
AVR58_00105	L. clemsonensis	9.40E-76	158	68.354	99	159	ASQ47484.1 hypothetical protein clem_14795 	ASQ47484.1
AVR58_00105	L. brunensis	1.01E-75	158	67.722	99	159	KTC84921.1 alpha helix protein 	KTC84921.1
AVR58_00105	L. jamestowniensis DSM 19215	6.61E-75	158	67.722	99	159	SFL61469.1 ribosome-associated protein 	SFL61469.1
AVR58_00105	L. hackeliae	7.69E-74	155	68.387	97	159	CEK09148.1 conserved protein of unknown function 	CEK09148.1
AVR58_00105	L. micdadei	1.07E-73	158	68.354	99	159	CEG59390.1 conserved protein of unknown function 	CEG59390.1
AVR58_00105	L. oakridgensis	3.16E-73	158	65.19	99	159	KTD38256.1 alpha helix protein 	KTD38256.1
AVR58_00105	L. erythra	7.26E-73	158	64.557	99	158	KTC94660.1 alpha helix protein 	KTC94660.1
AVR58_00105	L. taurinensis	1.60E-72	158	65.19	99	158	STY24664.1 alpha helix protein 	STY24664.1
AVR58_00105	L. maceachernii	3.40E-72	158	66.456	99	159	SUO99246.1 x96 protein 	SUO99246.1
AVR58_00105	L. massiliensis	9.32E-72	158	70.886	99	159	CEE11892.1 hypothetical protein BN1094_00420 	CEE11892.1
AVR58_00105	L. lansingensis	1.09E-71	159	66.667	99	159	SNV43214.1 alpha helix protein 	SNV43214.1
AVR58_00105	L. nautarum	2.61E-71	158	65.823	99	162	KTD36496.1 alpha helix protein 	KTD36496.1
AVR58_00105	L. septentrionalis	4.40E-70	155	67.742	97	159	RUR11461.1 DUF615 domain-containing protein 	RUR11461.1
AVR58_00105	L. adelaidensis	5.54E-70	158	65.19	99	159	KTC64783.1 alpha helix protein 	KTC64783.1
AVR58_00105	L. spiritensis	2.90E-69	158	63.291	99	158	VEG91606.1 alpha helix protein 	VEG91606.1
AVR58_00105	L. quinlivanii	4.39E-66	157	62.42	99	160	KTD51940.1 alpha helix protein 	KTD51940.1
AVR58_00105	L. busanensis	8.57E-66	157	63.057	99	159	STX50046.1 alpha helix protein 	STX50046.1
AVR58_00105	L. israelensis	1.22E-65	159	61.006	100	159	QDP71587.1 DUF615 domain-containing protein 	QDP71587.1
AVR58_00105	L. londiniensis	1.56E-65	159	61.635	100	159	STX92156.1 alpha helix protein 	STX92156.1
AVR58_00105	L. birminghamensis	1.41E-64	157	62.42	99	161	STX30288.1 alpha helix protein 	STX30288.1
AVR58_00105	L. jordanis	8.35E-60	158	61.392	99	158	VEH11205.1 alpha helix protein 	VEH11205.1
AVR58_00105	L. beliardensis	6.17E-59	158	55.696	99	160	STX30147.1 alpha helix protein 	STX30147.1
AVR58_00105	L. geestiana	2.70E-53	158	52.532	99	159	QBS13408.1 DUF615 domain-containing protein 	QBS13408.1
AVR58_00150	L. pneumophila	0	296	100	100	296	AOU47734.1 hypothetical protein A9E85_00150 	AOU47734.1
AVR58_00150	L. sp. 27fs60	6.35E-53	186	47.849	98	372	MBL7481533.1 hypothetical protein IZU94_16345 	MBL7481533.1
AVR58_00150	L. sp. 27fs60	2.20E-10	135	31.852	98	372	MBL7481533.1 hypothetical protein IZU94_16345 	MBL7481533.1
AVR58_00150	L. quateirensis	9.48E-52	169	50.296	98	388	STY16261.1 Uncharacterised protein 	STY16261.1
AVR58_00150	L. quateirensis	9.34E-11	162	33.333	98	388	STY16261.1 Uncharacterised protein 	STY16261.1
AVR58_00150	L. moravica	2.26E-49	130	59.231	87	352	STX61134.1 Uncharacterised protein 	STX61134.1
AVR58_00150	L. moravica	1.96E-12	130	32.308	87	352	STX61134.1 Uncharacterised protein 	STX61134.1
AVR58_00150	L. waltersii	2.73E-39	325	31.692	95	318	SNU93899.1 Uncharacterised protein 	SNU93899.1
AVR58_00150	L. waltersii	2.03E-17	126	39.683	42	559	SNV11520.1 Dot/Icm T4SS effector 	SNV11520.1
AVR58_00150	L. jamestowniensis DSM 19215	9.90E-11	160	31.875	52	232	SFL61560.1 hypothetical protein SAMN02746073_1063 	SFL61560.1
AVR58_00150	L. cardiaca	1.71E-10	105	36.19	35	495	WED42036.1 PP2C family serine/threonine-protein phosphatase 	WED42036.1
AVR58_00150	L. jordanis	3.94E-10	156	31.41	49	470	VEH11486.1 Uncharacterised protein 	VEH11486.1
AVR58_00150	L. brunensis	5.58E-10	190	31.053	58	264	KTC84917.1 hypothetical protein Lbru_1132 	KTC84917.1
AVR58_00150	L. fallonii LLAP-10	2.28E-09	106	35.849	36	808	CEG55567.1 protein of unknown function 	CEG55567.1
AVR58_00150	L. beliardensis	4.66E-09	138	34.783	44	718	STX27796.1 Uncharacterised protein 	STX27796.1
AVR58_00150	L. brunensis	4.71E-09	101	36.634	32	579	KTC77876.1 hypothetical protein Lbru_2769 	KTC77876.1
AVR58_00150	L. cardiaca	1.90E-08	231	27.273	78	256	WED42901.1 hypothetical protein PXX05_13510 	WED42901.1
AVR58_00150	L. lansingensis	1.97E-08	126	32.54	42	300	SNV43246.1 Uncharacterised protein 	SNV43246.1
AVR58_00150	L. steigerwaltii	5.43E-08	94	36.17	32	445	STY22095.1 Dot/Icm secretion system substrate 	STY22095.1
AVR58_00150	L. hackeliae	4.76E-07	152	28.947	51	232	CEK09152.1 protein of unknown function 	CEK09152.1
AVR58_00150	L. cardiaca	6.16E-07	104	30.769	33	726	WED42574.1 hypothetical protein PXX05_11735 	WED42574.1
AVR58_00150	L. micdadei	7.28E-07	107	33.645	35	511	CEG62143.1 protein of unknown function [coiled-coil] 	CEG62143.1
AVR58_00150	L. antarctica	7.94E-07	163	28.221	54	249	BCA96584.1 hypothetical protein TUM19329_29450 	BCA96584.1
AVR58_00150	L. taurinensis	1.33E-06	94	37.234	32	646	STY25514.1 Uncharacterised protein 	STY25514.1
AVR58_00150	L. pneumophila	1.92E-06	173	25.434	56	266	AOU49970.1 hypothetical protein A9E85_12190 	AOU49970.1
AVR58_00150	L. nautarum	3.71E-06	134	31.343	42	485	KTD33294.1 hypothetical protein Lnau_2942 	KTD33294.1
AVR58_00150	L. spiritensis	3.89E-06	129	31.008	41	151	VEG91968.1 Uncharacterised protein 	VEG91968.1
AVR58_00150	L. erythra	4.90E-06	103	34.951	35	655	KTC99589.1 hypothetical protein Lery_0490 	KTC99589.1
AVR58_00150	L. londiniensis	6.66E-06	123	30.081	40	517	STX92624.1 Uncharacterised protein 	STX92624.1
AVR58_00150	L. drancourtii LLAP12	7.45E-06	94	31.915	32	464	EHL29958.1 hypothetical protein LDG_8251 	EHL29958.1
AVR58_00150	L. hackeliae	1.07E-05	150	28.667	48	560	CEK09500.1 protein of unknown function 	CEK09500.1
AVR58_00150	L. clemsonensis	1.17E-05	152	27.632	51	232	ASQ47480.1 hypothetical protein clem_14775 	ASQ47480.1
AVR58_00150	L. sp. HCPI-6	1.17E-05	122	27.049	41	242	MCL9684931.1 hypothetical protein LOX96_12565 	MCL9684931.1
AVR58_00150	L. septentrionalis	1.64E-05	128	28.125	42	522	RUR09241.1 hypothetical protein ELY14_09170 	RUR09241.1
AVR58_00150	L. adelaidensis	3.35E-05	96	35.417	32	340	KTC66270.1 leucine-rich repeat-containing protein 	KTC66270.1
AVR58_00150	L. quateirensis	8.74E-05	134	32.09	44	247	STY16910.1 Uncharacterised protein 	STY16910.1
AVR58_00150	L. wadsworthii	4.03E-04	120	26.667	41	247	STY28568.1 Uncharacterised protein 	STY28568.1
AVR58_00150	L. qingyii	5.96E-04	185	24.865	59	243	RUR26395.1 hypothetical protein ELY20_00275 	RUR26395.1
AVR58_00150	L. geestiana	0.001	109	34.862	35	2127	QBS11872.1 hypothetical protein E4T54_03420 	QBS11872.1
AVR58_00150	L. waltersii	0.004	97	32.99	32	263	SNV05853.1 Uncharacterised protein 	SNV05853.1
AVR58_00150	L. cincinnatiensis	0.004	129	29.457	43	601	STX33605.1 Uncharacterised protein 	STX33605.1
AVR58_00150	L. fallonii LLAP-10	0.005	185	22.703	62	244	CEG57747.1 conserved protein of unknown function 	CEG57747.1
