#sallacc	qacc	evalue	length	pident	qcovs	slen	seq.id	salltitles	species
KTD38256.1	AVR58_00105	3.16e-73	158	65.190	99	159	159	KTD38256.1 alpha helix protein 	L. oakridgensis
KTC94660.1	AVR58_00105	7.26e-73	158	64.557	99	158	159	KTC94660.1 alpha helix protein 	L. erythra
STY24664.1	AVR58_00105	1.60e-72	158	65.190	99	158	159	STY24664.1 alpha helix protein 	L. taurinensis
SUO99246.1	AVR58_00105	3.40e-72	158	66.456	99	159	159	SUO99246.1 x96 protein 	L. maceachernii
CEE11892.1	AVR58_00105	9.32e-72	158	70.886	99	159	159	CEE11892.1 hypothetical protein BN1094_00420 	L. massiliensis
SNV43214.1	AVR58_00105	1.09e-71	159	66.667	99	159	159	SNV43214.1 alpha helix protein 	L. lansingensis
KTD36496.1	AVR58_00105	2.61e-71	158	65.823	99	162	159	KTD36496.1 alpha helix protein 	L. nautarum
RUR11461.1	AVR58_00105	4.40e-70	155	67.742	97	159	159	RUR11461.1 DUF615 domain-containing protein 	L. septentrionalis
KTC64783.1	AVR58_00105	5.54e-70	158	65.190	99	159	159	KTC64783.1 alpha helix protein 	L. adelaidensis
VEG91606.1	AVR58_00105	2.90e-69	158	63.291	99	158	159	VEG91606.1 alpha helix protein 	L. spiritensis
KTD51940.1	AVR58_00105	4.39e-66	157	62.420	99	160	159	KTD51940.1 alpha helix protein 	L. quinlivanii
STX50046.1	AVR58_00105	8.57e-66	157	63.057	99	159	159	STX50046.1 alpha helix protein 	L. busanensis
QDP71587.1	AVR58_00105	1.22e-65	159	61.006	100	159	159	QDP71587.1 DUF615 domain-containing protein 	L. israelensis
STX92156.1	AVR58_00105	1.56e-65	159	61.635	100	159	159	STX92156.1 alpha helix protein 	L. londiniensis
STX30288.1	AVR58_00105	1.41e-64	157	62.420	99	161	159	STX30288.1 alpha helix protein 	L. birminghamensis
VEH11205.1	AVR58_00105	8.35e-60	158	61.392	99	158	159	VEH11205.1 alpha helix protein 	L. jordanis
STX30147.1	AVR58_00105	6.17e-59	158	55.696	99	160	159	STX30147.1 alpha helix protein 	L. beliardensis
QBS13408.1	AVR58_00105	2.70e-53	158	52.532	99	159	159	QBS13408.1 DUF615 domain-containing protein 	L. geestiana
AOU47734.1	AVR58_00150	0.0	296	100.000	100	296	296	AOU47734.1 hypothetical protein A9E85_00150 	L. pneumophila
SNU93899.1	AVR58_00150	2.73e-39	325	31.692	95	318	296	SNU93899.1 Uncharacterised protein 	L. waltersii
AOU47738.1	AVR58_00170	1.17e-78	118	100.000	100	118	118	AOU47738.1 hypothetical protein A9E85_00170 	L. pneumophila
KGP62462.1	AVR58_00170	3.60e-58	118	75.424	100	116	118	KGP62462.1 hypothetical protein EP47_14435 	L. norrlandica
KTD64965.1	AVR58_00170	3.31e-49	118	67.797	100	118	118	KTD64965.1 hypothetical protein Lsha_0334 	L. shakespearei DSM 23087
CEG55556.1	AVR58_00170	8.48e-49	118	66.102	100	118	118	CEG55556.1 conserved exported protein of unknown function 	L. fallonii LLAP-10
RUR21771.1	AVR58_00170	5.22e-47	117	67.521	99	118	118	RUR21771.1 hypothetical protein ELY20_11120 	L. qingyii
VEG89948.1	AVR58_00170	1.17e-46	118	63.559	100	118	118	VEG89948.1 Uncharacterised protein 	L. spiritensis
AWN74522.1	AVR58_00170	2.34e-46	118	66.102	100	118	118	AWN74522.1 hypothetical protein DLD14_12075 	L. anisa
MCL9684552.1	AVR58_00170	2.91e-46	118	62.712	100	118	118	MCL9684552.1 hypothetical protein LOX96_10645 	L. sp. HCPI-6
KTD59359.1	AVR58_00170	1.94e-45	118	67.797	100	118	118	KTD59359.1 hypothetical protein Lsan_2263 	L. santicrucis
STY22807.1	AVR58_00170	2.46e-45	119	67.227	100	119	118	STY22807.1 Uncharacterised protein 	L. steigerwaltii
STX44252.1	AVR58_00170	1.30e-44	118	66.102	100	118	118	STX44252.1 Uncharacterised protein 	L. gratiana
STX34864.1	AVR58_00170	1.36e-44	118	64.407	100	118	118	STX34864.1 Uncharacterised protein 	L. cincinnatiensis
CBJ11752.1	AVR58_00170	3.85e-44	118	66.102	100	118	118	CBJ11752.1 Hypothetical protein of unknown function 	L. longbeachae NSW150
STO34259.1	AVR58_00170	5.31e-44	119	65.546	100	117	118	STO34259.1 Uncharacterised protein 	L. bozemanae
AUH73248.1	AVR58_00170	7.04e-44	118	65.254	100	118	118	AUH73248.1 hypothetical protein CAB17_15205 	L. sainthelensi
STY29536.1	AVR58_00170	1.14e-43	118	61.864	100	117	118	STY29536.1 Uncharacterised protein 	L. wadsworthii
STX76626.1	AVR58_00170	1.38e-43	119	65.546	100	117	118	STX76626.1 Uncharacterised protein 	L. parisiensis
SNU94600.1	AVR58_00170	5.45e-43	118	60.169	100	118	118	SNU94600.1 Uncharacterised protein 	L. waltersii
KTD67983.1	AVR58_00170	1.10e-42	119	65.546	100	119	118	KTD67983.1 hypothetical protein Lste_1141 	L. steelei
KTC65795.1	AVR58_00170	3.58e-41	117	54.701	99	117	118	KTC65795.1 hypothetical protein Lade_0453 	L. adelaidensis
RUR09478.1	AVR58_00170	2.32e-39	118	51.695	100	117	118	RUR09478.1 hypothetical protein ELY14_08510 	L. septentrionalis
KTD37172.1	AVR58_00170	2.15e-37	117	52.991	99	117	118	KTD37172.1 hypothetical protein Loak_2308 	L. oakridgensis
SNV01890.1	AVR58_00170	3.49e-13	120	31.667	95	127	118	SNV01890.1 Uncharacterised protein 	L. waltersii
MCL9683427.1	AVR58_00170	1.28e-12	124	31.452	97	127	118	MCL9683427.1 hypothetical protein LOX96_04940 	L. sp. HCPI-6
RUR09135.1	AVR58_00170	1.55e-12	108	29.630	92	128	118	RUR09135.1 hypothetical protein ELY14_09565 	L. septentrionalis
QDP73020.1	AVR58_00170	6.17e-12	122	30.328	96	126	118	QDP73020.1 hypothetical protein FOG18_10815 	L. israelensis
STY22312.1	AVR58_00170	9.88e-12	128	26.562	100	127	118	STY22312.1 Uncharacterised protein 	L. steigerwaltii
RUR25481.1	AVR58_00170	6.54e-11	127	28.346	100	127	118	RUR25481.1 hypothetical protein ELY20_03215 	L. qingyii
KTD39785.1	AVR58_00170	9.29e-11	126	27.778	98	129	118	KTD39785.1 hypothetical protein Loak_0801 	L. oakridgensis
STY21748.1	AVR58_00170	1.39e-10	117	30.769	98	118	118	STY21748.1 Uncharacterised protein 	L. steigerwaltii
STX52564.1	AVR58_00170	2.50e-10	127	29.921	100	140	118	STX52564.1 Uncharacterised protein 	L. busanensis
STO34726.1	AVR58_00170	4.59e-10	128	25.781	100	128	118	STO34726.1 Uncharacterised protein 	L. bozemanae
RUR23677.1	AVR58_00170	1.05e-09	119	27.731	100	121	118	RUR23677.1 hypothetical protein ELY20_06620 	L. qingyii
STY31045.1	AVR58_00170	1.11e-09	120	30.833	98	121	118	STY31045.1 Uncharacterised protein 	L. wadsworthii
AWN75570.1	AVR58_00170	2.47e-09	119	29.412	98	120	118	AWN75570.1 hypothetical protein DLD14_17965 	L. anisa
VEG90068.1	AVR58_00170	5.40e-09	119	24.370	97	122	118	VEG90068.1 Uncharacterised protein 	L. spiritensis
STX51347.1	AVR58_00170	6.89e-09	111	32.432	92	123	118	STX51347.1 Uncharacterised protein 	L. busanensis
STX28954.1	AVR58_00170	1.81e-08	115	28.696	93	122	118	STX28954.1 Uncharacterised protein 	L. beliardensis
STX46221.1	AVR58_00170	2.61e-08	110	29.091	93	120	118	STX46221.1 Uncharacterised protein 	L. gratiana
STX77665.1	AVR58_00170	8.19e-08	119	29.412	98	120	118	STX77665.1 Uncharacterised protein 	L. parisiensis
CEG56381.1	AVR58_00170	6.97e-05	122	21.311	97	127	118	CEG56381.1 conserved exported protein of unknown function 	L. fallonii LLAP-10
AOU47741.1	AVR58_00185	0.0	505	100.000	100	505	505	AOU47741.1 hypothetical protein A9E85_00185 	L. pneumophila
STO32982.1	AVR58_00185	3.87e-176	497	52.515	98	509	505	STO32982.1 Ankyrin repeats (3 copies) 	L. bozemanae
AWN73327.1	AVR58_00185	1.72e-172	496	52.218	98	509	505	AWN73327.1 ankyrin repeat domain-containing protein 	L. anisa
MBL7480184.1	AVR58_00185	5.92e-168	507	48.323	99	513	505	MBL7480184.1 ankyrin repeat domain-containing protein 	L. sp. 27fs60
STX72162.1	AVR58_00185	3.46e-166	496	52.016	98	509	505	STX72162.1 ankyrin repeat-containing protein 	L. parisiensis
RUR19578.1	AVR58_00185	1.25e-162	511	49.119	100	511	505	RUR19578.1 ankyrin repeat domain-containing protein 	L. qingyii
STY23937.1	AVR58_00185	5.02e-162	501	48.902	98	505	505	STY23937.1 ankyrin repeat-containing protein 	L. steigerwaltii
MCL9684234.1	AVR58_00185	4.30e-161	502	48.606	98	509	505	MCL9684234.1 ankyrin repeat domain-containing protein 	L. sp. HCPI-6
STY18751.1	AVR58_00185	1.15e-159	503	47.714	98	510	505	STY18751.1 Substrate of the Dot/Icm secretion system 	L. quateirensis
STX46056.1	AVR58_00185	5.91e-158	500	47.800	98	500	505	STX46056.1 ankyrin repeat-containing protein 	L. gratiana
STX63547.1	AVR58_00185	1.82e-157	510	46.863	99	512	505	STX63547.1 Substrate of the Dot/Icm secretion system 	L. moravica
STY28420.1	AVR58_00185	4.53e-145	494	46.559	97	509	505	STY28420.1 ankyrin repeat-containing protein 	L. wadsworthii
KTD66830.1	AVR58_00185	8.88e-145	497	46.881	97	512	505	KTD66830.1 ankyrin repeat-containing protein 	L. steelei
AOU47743.1	AVR58_00200	0.0	738	100.000	99	738	742	AOU47743.1 hypothetical protein A9E85_00200 	L. pneumophila
RUR26461.1	AVR58_00200	0.0	738	70.325	99	737	742	RUR26461.1 hypothetical protein ELY20_00665 	L. qingyii
CEG57468.1	AVR58_00200	0.0	738	70.732	99	737	742	CEG57468.1 conserved exported protein of unknown function 	L. fallonii LLAP-10
AWN73210.1	AVR58_00200	0.0	738	70.190	99	735	742	AWN73210.1 hypothetical protein DLD14_04780 	L. anisa
STX77765.1	AVR58_00200	0.0	738	70.054	99	735	742	STX77765.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family 	L. parisiensis
STO35355.1	AVR58_00200	0.0	738	70.325	99	735	742	STO35355.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family 	L. bozemanae
USQ15328.1	AVR58_00200	0.0	723	62.932	97	737	742	USQ15328.1 hypothetical protein J2N86_15315 (plasmid) 	L. lytica
SNV51485.1	AVR58_00200	0.0	739	63.194	99	729	742	SNV51485.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family 	L. lansingensis
WED44057.1	AVR58_00200	0.0	741	61.808	99	732	742	WED44057.1 zinc-dependent metalloprotease family protein 	L. cardiaca
KTC78396.1	AVR58_00200	0.0	740	60.946	99	730	742	KTC78396.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family protein 	L. brunensis
STX30394.1	AVR58_00200	0.0	738	61.111	99	726	742	STX30394.1 Uncharacterised protein 	L. birminghamensis
ASQ45592.1	AVR58_00200	0.0	739	60.758	99	729	742	ASQ45592.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family protein 	L. clemsonensis
KTD46560.1	AVR58_00200	0.0	739	60.893	99	726	742	KTD46560.1 hypothetical protein Lqui_2485 	L. quinlivanii
KTD33270.1	AVR58_00200	0.0	741	59.379	99	738	742	KTD33270.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family protein 	L. nautarum
VEH11575.1	AVR58_00200	0.0	738	60.298	99	729	742	VEH11575.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family 	L. jordanis
SFL69487.1	AVR58_00200	0.0	741	60.999	99	729	742	SFL69487.1 Metallo-peptidase family M12B Reprolysin-like 	L. jamestowniensis DSM 19215
CEG59742.1	AVR58_00200	0.0	748	58.957	99	745	742	CEG59742.1 conserved exported protein of unknown function 	L. micdadei
STX28549.1	AVR58_00200	0.0	742	58.625	99	731	742	STX28549.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family 	L. beliardensis
STX51047.1	AVR58_00200	0.0	717	56.346	96	731	742	STX51047.1 Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family 	L. busanensis
AOU47749.1	AVR58_00230	5.08e-49	70	100.000	100	70	70	AOU47749.1 hypothetical protein A9E85_00230 	L. pneumophila
AOU47750.1	AVR58_00235	3.23e-98	132	100.000	100	132	132	AOU47750.1 hypothetical protein A9E85_00235 	L. pneumophila
AOU47760.1	AVR58_00285	0.0	239	100.000	100	239	239	AOU47760.1 peptidase-C39 like family protein 	L. pneumophila
STX27801.1	AVR58_00285	5.46e-108	239	59.833	100	244	239	STX27801.1 Uncharacterised protein 	L. beliardensis
STX44194.1	AVR58_00285	1.47e-107	240	60.417	100	240	239	STX44194.1 Guanylyl cyclase 	L. donaldsonii
STX39549.1	AVR58_00285	1.87e-107	240	60.417	100	240	239	STX39549.1 Guanylyl cyclase 	L. feeleii
VEG91972.1	AVR58_00285	1.08e-104	238	58.824	99	242	239	VEG91972.1 Peptidase C39 family 	L. spiritensis
SFM06286.1	AVR58_00285	1.40e-104	239	59.833	99	239	239	SFM06286.1 Peptidase_C39 like family protein 	L. jamestowniensis DSM 19215
CEG58101.1	AVR58_00285	2.78e-104	239	61.925	100	238	239	CEG58101.1 conserved protein of unknown function 	L. fallonii LLAP-10
ASQ47162.1	AVR58_00285	1.36e-103	239	59.414	99	239	239	ASQ47162.1 hypothetical protein clem_13145 	L. clemsonensis
KTD39152.1	AVR58_00285	1.51e-103	240	58.750	99	242	239	KTD39152.1 hypothetical protein Lnau_0221 	L. nautarum
SNV45587.1	AVR58_00285	2.51e-103	238	60.504	99	239	239	SNV45587.1 Uncharacterised protein 	L. lansingensis
CEG59873.1	AVR58_00285	2.95e-103	238	57.983	99	244	239	CEG59873.1 conserved protein of unknown function 	L. micdadei
CEK09505.1	AVR58_00285	3.37e-103	238	60.504	99	238	239	CEK09505.1 conserved protein of unknown function 	L. hackeliae
KTC77871.1	AVR58_00285	4.11e-103	238	60.504	99	239	239	KTC77871.1 hypothetical protein Lbru_2764 	L. brunensis
STX50311.1	AVR58_00285	6.65e-103	237	57.806	99	248	239	STX50311.1 Uncharacterised protein 	L. busanensis
VEH11492.1	AVR58_00285	1.31e-102	238	58.824	99	239	239	VEH11492.1 Uncharacterised protein 	L. jordanis
STY27251.1	AVR58_00285	2.32e-102	239	58.577	100	242	239	STY27251.1 Uncharacterised protein 	L. taurinensis
KTC97572.1	AVR58_00285	1.18e-101	239	57.741	100	242	239	KTC97572.1 hypothetical protein Lery_1411 	L. erythra
WED42570.1	AVR58_00285	1.08e-100	238	58.824	99	239	239	WED42570.1 C39 family peptidase 	L. cardiaca
MCL9683247.1	AVR58_00285	1.27e-100	237	59.916	99	238	239	MCL9683247.1 C39 family peptidase 	L. sp. HCPI-6
SUP00248.1	AVR58_00285	3.16e-100	238	56.723	99	244	239	SUP00248.1 Uncharacterised protein 	L. maceachernii
RUR09922.1	AVR58_00285	3.65e-100	237	58.228	99	247	239	RUR09922.1 peptidase-C39 like family protein 	L. septentrionalis
AOU48056.1	AVR58_00285	2.50e-99	237	58.650	99	237	239	AOU48056.1 peptidase-C39 like family protein 	L. pneumophila
KTD43571.1	AVR58_00285	1.21e-98	237	56.540	99	246	239	KTD43571.1 Guanylyl cyclase 	L. oakridgensis
KGP62485.1	AVR58_00285	2.53e-97	238	58.403	99	239	239	KGP62485.1 hypothetical protein EP47_10420 	L. norrlandica
BCA94059.1	AVR58_00285	3.05e-97	237	58.650	99	238	239	BCA94059.1 hypothetical protein TUM19329_04200 	L. antarctica
KTC86573.1	AVR58_00285	4.06e-97	238	55.042	99	240	239	KTC86573.1 Guanylyl cyclase 	L. brunensis
KTC65259.1	AVR58_00285	1.08e-96	237	57.384	99	246	239	KTC65259.1 Guanylyl cyclase 	L. adelaidensis
STX94120.1	AVR58_00285	1.97e-96	237	57.384	99	247	239	STX94120.1 Uncharacterised protein 	L. londiniensis
CEE13745.1	AVR58_00285	3.05e-96	240	57.500	100	248	239	CEE13745.1 Peptidase C39 family protein 	L. massiliensis
QBS12076.1	AVR58_00285	1.45e-95	239	53.975	100	241	239	QBS12076.1 peptidase-C39 like family protein 	L. geestiana
MBL7480874.1	AVR58_00285	1.12e-94	237	54.008	99	240	239	MBL7480874.1 C39 family peptidase 	L. sp. 27fs60
STX61417.1	AVR58_00285	4.02e-94	238	54.622	99	240	239	STX61417.1 Peptidase C39 family 	L. moravica
STY16522.1	AVR58_00285	5.70e-94	237	53.586	99	240	239	STY16522.1 Peptidase C39 family 	L. quateirensis
STY31961.1	AVR58_00285	7.26e-93	237	55.274	99	238	239	STY31961.1 Peptidase C39 family 	L. worsleiensis
KTD37222.1	AVR58_00285	8.45e-60	236	39.831	99	234	239	KTD37222.1 hypothetical protein Loak_2358 	L. oakridgensis
AOU47763.1	AVR58_00300	0.0	363	100.000	100	363	363	AOU47763.1 hypothetical protein A9E85_00300 	L. pneumophila
AOU47784.1	AVR58_00410	0.0	255	100.000	100	255	255	AOU47784.1 hypothetical protein A9E85_00415 	L. pneumophila
STY31688.1	AVR58_00410	1.24e-76	255	45.882	98	255	255	STY31688.1 Dot/Icm T4SS effector 	L. wadsworthii
STO35589.1	AVR58_00410	3.88e-76	247	44.534	96	254	255	STO35589.1 Uncharacterised protein 	L. bozemanae
STX78034.1	AVR58_00410	1.07e-72	242	44.215	95	254	255	STX78034.1 Dot/Icm T4SS effector 	L. parisiensis
