#sallacc	qacc	evalue	length	pident	qcovs	slen	seq.id	species 
RUR23071.1	AVR58_00040	1.37e-58	228	43.860	82	325	RUR23071.1 hypothetical protein ELY20_07995 	L. qingyii
RUR23071.1	AVR58_00040	1.31e-32	223	34.529	82	325	RUR23071.1 hypothetical protein ELY20_07995 	L. qingyii
KTD53558.1	AVR58_00040	3.70e-58	221	46.606	82	309	KTD53558.1 hypothetical protein Lsan_3968 	L. santicrucis
KTD53558.1	AVR58_00040	2.16e-25	256	33.203	82	309	KTD53558.1 hypothetical protein Lsan_3968 	L. santicrucis
STX33443.1	AVR58_00040	5.54e-58	221	46.606	82	309	STX33443.1 Uncharacterised protein 	L. cincinnatiensis
STX33443.1	AVR58_00040	3.92e-25	256	33.203	82	309	STX33443.1 Uncharacterised protein 	L. cincinnatiensis
AUH71386.1	AVR58_00040	9.85e-58	221	47.964	82	309	AUH71386.1 hypothetical protein CAB17_04385 	L. sainthelensi
AUH71386.1	AVR58_00040	2.37e-24	253	33.992	82	309	AUH71386.1 hypothetical protein CAB17_04385 	L. sainthelensi
STX40704.1	AVR58_00040	4.32e-57	220	47.273	82	309	STX40704.1 Uncharacterised protein 	L. gratiana
STX40704.1	AVR58_00040	4.65e-24	194	38.660	82	309	STX40704.1 Uncharacterised protein 	L. gratiana
STY27849.1	AVR58_00040	4.97e-56	282	39.007	82	334	STY27849.1 Uncharacterised protein 	L. wadsworthii
STY27849.1	AVR58_00040	3.10e-25	188	35.638	82	334	STY27849.1 Uncharacterised protein 	L. wadsworthii
CEG55499.1	AVR58_00040	1.07e-54	221	42.081	81	325	CEG55499.1 protein of unknown function 	L. fallonii LLAP-10
CEG55499.1	AVR58_00040	1.11e-30	246	32.114	81	325	CEG55499.1 protein of unknown function 	L. fallonii LLAP-10
CBJ10336.1	AVR58_00040	1.04e-53	221	45.701	82	309	CBJ10336.1 hypothetical protein LLO_0015 	L. longbeachae NSW150
CBJ10336.1	AVR58_00040	9.08e-24	220	35.455	82	309	CBJ10336.1 hypothetical protein LLO_0015 	L. longbeachae NSW150
EHL32527.1	AVR58_00040	9.13e-47	241	42.324	57	290	EHL32527.1 hypothetical protein LDG_5484 	L. drancourtii LLAP12
USQ13778.1	AVR58_00040	1.80e-40	241	37.759	88	304	USQ13778.1 hypothetical protein J2N86_00045 	L. lytica
USQ13778.1	AVR58_00040	3.43e-24	176	38.068	88	304	USQ13778.1 hypothetical protein J2N86_00045 	L. lytica
STX30154.1	AVR58_00040	3.02e-28	224	32.143	86	406	STX30154.1 Uncharacterised protein 	L. beliardensis
STX30154.1	AVR58_00040	2.05e-07	205	27.805	86	406	STX30154.1 Uncharacterised protein 	L. beliardensis
VEG91598.1	AVR58_00040	2.33e-27	203	34.483	47	322	VEG91598.1 Uncharacterised protein 	L. spiritensis
STX50039.1	AVR58_00040	1.11e-24	192	31.250	46	353	STX50039.1 Uncharacterised protein 	L. busanensis
KTD38299.1	AVR58_00040	1.29e-23	154	35.714	37	201	KTD38299.1 hypothetical protein Loak_1975 	L. oakridgensis
STX36872.1	AVR58_00040	3.98e-21	220	30.909	80	310	STX36872.1 Uncharacterised protein 	L. feeleii
STX36872.1	AVR58_00040	9.30e-05	146	28.082	80	310	STX36872.1 Uncharacterised protein 	L. feeleii
QDP71321.1	AVR58_00040	3.94e-19	139	38.129	67	230	QDP71321.1 hypothetical protein FOG18_01375 	L. israelensis
QDP71321.1	AVR58_00040	1.12e-08	157	30.573	67	230	QDP71321.1 hypothetical protein FOG18_01375 	L. israelensis
STX40273.1	AVR58_00040	1.08e-16	221	28.507	80	310	STX40273.1 Uncharacterised protein 	L. donaldsonii
STX40273.1	AVR58_00040	0.001	135	25.185	80	310	STX40273.1 Uncharacterised protein 	L. donaldsonii
VEH11193.1	AVR58_00040	5.34e-13	225	28.000	77	302	VEH11193.1 Uncharacterised protein 	L. jordanis
VEH11193.1	AVR58_00040	4.04e-07	177	25.989	77	302	VEH11193.1 Uncharacterised protein 	L. jordanis
ASQ47496.1	AVR58_00040	8.06e-12	175	27.429	56	207	ASQ47496.1 hypothetical protein clem_14855 	L. clemsonensis
ASQ47496.1	AVR58_00040	0.001	139	25.180	56	207	ASQ47496.1 hypothetical protein clem_14855 	L. clemsonensis
SNV43135.1	AVR58_00040	1.30e-11	276	30.072	60	297	SNV43135.1 Uncharacterised protein 	L. lansingensis
SFL61260.1	AVR58_00040	5.54e-11	163	26.380	38	204	SFL61260.1 hypothetical protein SAMN02746073_1041 	L. jamestowniensis DSM 19215
KTC94650.1	AVR58_00040	7.23e-11	141	30.496	33	207	KTC94650.1 hypothetical protein Lery_2817 	L. erythra
STX30252.1	AVR58_00040	9.88e-11	165	32.121	37	382	STX30252.1 Uncharacterised protein 	L. birminghamensis
KTC84933.1	AVR58_00040	3.31e-08	153	26.797	36	214	KTC84933.1 hypothetical protein Lbru_1148 	L. brunensis
WED42915.1	AVR58_00040	3.49e-08	152	26.974	36	216	WED42915.1 hypothetical protein PXX05_13585 	L. cardiaca
STY24654.1	AVR58_00040	4.94e-07	163	26.994	35	207	STY24654.1 Uncharacterised protein 	L. taurinensis
CEK09133.1	AVR58_00040	8.56e-07	163	24.540	38	210	CEK09133.1 protein of unknown function 	L. hackeliae
AOU47717.1	AVR58_00060	0.0	525	100.000	100	525	AOU47717.1 type IV secretion protein Dot 	L. pneumophila
KTD64150.1	AVR58_00060	0.0	520	70.385	99	542	KTD64150.1 Dot/Icm secretion system substrate 	L. shakespearei DSM 23087
STY16235.1	AVR58_00060	0.0	527	68.880	99	527	STY16235.1 Dot/Icm T4SS effector 	L. quateirensis
MBL7481558.1	AVR58_00060	0.0	527	68.311	99	527	MBL7481558.1 type IV secretion protein Dot 	L. sp. 27fs60
STX61112.1	AVR58_00060	0.0	509	68.566	97	527	STX61112.1 Dot/Icm T4SS effector 	L. moravica
SNU93768.1	AVR58_00060	0.0	527	66.793	100	526	SNU93768.1 Dot/Icm T4SS effector 	L. waltersii
CEK09143.1	AVR58_00060	0.0	534	56.554	99	534	CEK09143.1 substrate of the Dot/Icm secretion sytem 	L. hackeliae
ASQ47488.1	AVR58_00060	0.0	531	55.744	99	534	ASQ47488.1 hypothetical protein clem_14815 	L. clemsonensis
KTC84926.1	AVR58_00060	0.0	519	56.455	97	530	KTC84926.1 Dot/Icm secretion system substrate 	L. brunensis
WED42909.1	AVR58_00060	0.0	528	54.735	99	528	WED42909.1 type IV secretion protein Dot 	L. cardiaca
VEH11202.1	AVR58_00060	0.0	517	54.545	97	529	VEH11202.1 Dot/Icm T4SS effector 	L. jordanis
SFL61403.1	AVR58_00060	0.0	530	56.226	99	535	SFL61403.1 hypothetical protein SAMN02746073_1052 	L. jamestowniensis DSM 19215
STY24659.1	AVR58_00060	0.0	519	51.445	99	518	STY24659.1 Dot/Icm T4SS effector 	L. taurinensis
KTC94655.1	AVR58_00060	0.0	526	53.042	99	546	KTC94655.1 Dot/Icm secretion system substrate 	L. erythra
VEG91602.1	AVR58_00060	0.0	489	53.579	92	524	VEG91602.1 Dot/Icm T4SS effector 	L. spiritensis
CEG56508.1	AVR58_00060	6.10e-175	544	48.162	99	550	CEG56508.1 substrate of the Dot/Icm secretion sytem 	L. fallonii LLAP-10
KTD71461.1	AVR58_00060	1.41e-174	533	48.593	98	537	KTD71461.1 Dot/Icm secretion system substrate 	L. steelei
RUR23666.1	AVR58_00060	4.90e-170	531	46.704	98	538	RUR23666.1 hypothetical protein ELY20_06565 	L. qingyii
EHL32348.1	AVR58_00060	5.58e-170	541	48.244	99	537	EHL32348.1 hypothetical protein LDG_5732 	L. drancourtii LLAP12
STY31037.1	AVR58_00060	9.88e-169	536	47.201	99	540	STY31037.1 Dot/Icm T4SS effector 	L. wadsworthii
STY21760.1	AVR58_00060	1.66e-168	531	46.139	98	537	STY21760.1 Dot/Icm T4SS effector 	L. steigerwaltii
STO35248.1	AVR58_00060	2.55e-167	530	47.736	98	535	STO35248.1 Uncharacterised protein 	L. bozemanae
AWN75559.1	AVR58_00060	1.93e-165	534	47.940	99	535	AWN75559.1 hypothetical protein DLD14_17910 	L. anisa
STX77653.1	AVR58_00060	2.43e-164	525	48.000	97	534	STX77653.1 Dot/Icm T4SS effector 	L. parisiensis
MCL9684343.1	AVR58_00060	2.31e-162	545	45.872	99	537	MCL9684343.1 hypothetical protein LOX96_09580 	L. sp. HCPI-6
CEE14113.1	AVR58_00060	3.90e-161	533	45.591	99	534	CEE14113.1 hypothetical protein BN1094_02685 	L. massiliensis
USQ14691.1	AVR58_00060	3.03e-150	534	44.569	99	537	USQ14691.1 hypothetical protein J2N86_05140 	L. lytica
ASQ46604.1	AVR58_00060	1.57e-109	545	37.798	98	541	ASQ46604.1 hypothetical protein clem_10275 	L. clemsonensis
KTD38687.1	AVR58_00060	7.59e-109	484	40.289	87	555	KTD38687.1 Dot/Icm secretion system substrate 	L. oakridgensis
SFM03521.1	AVR58_00060	1.95e-104	462	39.827	83	537	SFM03521.1 hypothetical protein SAMN02746073_0059 	L. jamestowniensis DSM 19215
CEK09569.1	AVR58_00060	4.25e-102	545	34.862	98	540	CEK09569.1 conserved protein of unknown function 	L. hackeliae
STX41220.1	AVR58_00060	1.77e-101	469	39.232	83	550	STX41220.1 Dot/Icm T4SS effector 	L. donaldsonii
VEH11766.1	AVR58_00060	1.38e-99	516	35.465	91	535	VEH11766.1 Dot/Icm T4SS effector 	L. jordanis
WED43493.1	AVR58_00060	6.79e-99	482	38.174	86	548	WED43493.1 hypothetical protein PXX05_01595 	L. cardiaca
CEE13538.1	AVR58_00060	4.71e-98	473	38.266	85	548	CEE13538.1 hypothetical protein BN1094_02090 	L. massiliensis
STX39222.1	AVR58_00060	8.45e-98	522	36.015	93	551	STX39222.1 Dot/Icm T4SS effector 	L. feeleii
AUH71716.1	AVR58_00060	3.27e-96	527	36.243	92	551	AUH71716.1 hypothetical protein CAB17_06290 	L. sainthelensi
STX33845.1	AVR58_00060	3.72e-96	524	35.496	91	553	STX33845.1 Dot/Icm T4SS effector 	L. cincinnatiensis
CEG61920.1	AVR58_00060	5.34e-96	459	39.869	82	533	CEG61920.1 conserved protein of unknown function 	L. micdadei
QDP72434.1	AVR58_00060	5.36e-96	499	37.475	87	559	QDP72434.1 hypothetical protein FOG18_07610 	L. israelensis
SUP00792.1	AVR58_00060	3.44e-95	456	39.912	83	532	SUP00792.1 Uncharacterised protein 	L. maceachernii
CBJ10763.1	AVR58_00060	9.74e-95	544	34.926	96	547	CBJ10763.1 hypothetical protein LLO_0432 	L. longbeachae NSW150
VEG92287.1	AVR58_00060	2.55e-92	548	35.766	97	541	VEG92287.1 Dot/Icm T4SS effector 	L. spiritensis
STX52624.1	AVR58_00060	3.26e-90	517	35.783	90	564	STX52624.1 Dot/Icm T4SS effector 	L. busanensis
KTD38842.1	AVR58_00060	1.17e-89	499	37.275	90	536	KTD38842.1 Dot/Icm secretion system substrate 	L. nautarum
KTC98884.1	AVR58_00060	4.79e-85	537	33.892	97	528	KTC98884.1 Dot/Icm secretion system substrate 	L. erythra
STY26925.1	AVR58_00060	5.69e-84	546	32.967	99	530	STY26925.1 Dot/Icm T4SS effector 	L. taurinensis
MCL9683359.1	AVR58_00060	1.08e-09	238	28.992	44	424	MCL9683359.1 phospholipase 	L. sp. HCPI-6
AOU48169.1	AVR58_00060	1.99e-09	335	23.582	61	423	AOU48169.1 phospholipase 	L. pneumophila
BCA94176.1	AVR58_00060	2.99e-09	209	28.230	40	423	BCA94176.1 phosphatidylcholine hydrolyzing phospholipase 	L. antarctica
STX81331.1	AVR58_00060	6.73e-08	392	22.704	68	404	STX81331.1 phospholipase C 	L. busanensis
KTD60978.1	AVR58_00060	1.24e-07	336	24.405	61	417	KTD60978.1 phospholipase C 	L. shakespearei DSM 23087
STY16642.1	AVR58_00060	1.78e-07	203	25.123	38	423	STY16642.1 phosphatidylcholine hydrolyzing phospholipase 	L. quateirensis
STX28858.1	AVR58_00060	1.89e-07	395	23.038	73	406	STX28858.1 phospholipase C 	L. beliardensis
CEG57997.1	AVR58_00060	2.31e-07	202	25.248	38	422	CEG57997.1 conserved exported protein of unknown function 	L. fallonii LLAP-10
KGP63073.1	AVR58_00060	2.39e-07	313	23.642	58	423	KGP63073.1 phosphatidylcholine-hydrolyzing phospholipase 	L. norrlandica
STX62854.1	AVR58_00060	2.40e-07	362	23.204	65	417	STX62854.1 phospholipase C 	L. moravica
MBL7479655.1	AVR58_00060	2.80e-07	203	25.123	38	423	MBL7479655.1 phospholipase 	L. sp. 27fs60
AOU49018.1	AVR58_00060	3.87e-07	215	26.512	40	418	AOU49018.1 phospholipase 	L. pneumophila
QDP72684.1	AVR58_00060	4.64e-07	323	22.601	58	413	QDP72684.1 phospholipase 	L. israelensis
CBJ11690.1	AVR58_00060	5.20e-07	241	25.726	45	405	CBJ11690.1 putative phospholipase C 	L. longbeachae NSW150
KGP64412.1	AVR58_00060	9.23e-07	322	23.292	59	418	KGP64412.1 phospholipase C 	L. norrlandica
STX45236.1	AVR58_00060	1.35e-06	204	26.961	38	405	STX45236.1 phospholipase C 	L. gratiana
AUH72521.1	AVR58_00060	5.81e-06	241	25.311	45	405	AUH72521.1 phospholipase 	L. sainthelensi
KTD53796.1	AVR58_00060	9.58e-06	204	26.471	38	405	KTD53796.1 phospholipase C 	L. santicrucis
STX35570.1	AVR58_00060	1.68e-05	205	25.854	38	405	STX35570.1 phospholipase C 	L. cincinnatiensis
VEG91713.1	AVR58_00060	2.18e-05	187	25.134	35	429	VEG91713.1 phosphatidylcholine hydrolyzing phospholipase 	L. spiritensis
MBL7479307.1	AVR58_00060	3.31e-05	323	23.220	59	417	MBL7479307.1 phospholipase 	L. sp. 27fs60
STY17942.1	AVR58_00060	3.40e-04	327	24.159	59	417	STY17942.1 phospholipase C 	L. quateirensis
AOU47725.1	AVR58_00105	3.25e-112	159	100.000	100	159	AOU47725.1 hypothetical protein A9E85_00105 	L. pneumophila
STY16242.1	AVR58_00105	7.44e-94	158	81.646	99	159	STY16242.1 alpha helix protein 	L. quateirensis
KTD64156.1	AVR58_00105	1.29e-93	159	82.390	100	159	KTD64156.1 alpha helix protein 	L. shakespearei DSM 23087
MBL7481552.1	AVR58_00105	1.71e-93	158	81.646	99	159	MBL7481552.1 ribosome-associated protein 	L. sp. 27fs60
KGP63798.1	AVR58_00105	1.89e-91	159	81.132	100	159	KGP63798.1 hypothetical protein EP47_06165 	L. norrlandica
MCL9683143.1	AVR58_00105	5.42e-91	159	79.245	100	159	MCL9683143.1 ribosome-associated protein 	L. sp. HCPI-6
STX61117.1	AVR58_00105	5.72e-91	158	80.380	99	159	STX61117.1 alpha helix protein 	L. moravica
BCA93963.1	AVR58_00105	1.91e-90	159	78.616	100	159	BCA93963.1 hypothetical protein TUM19329_03240 	L. antarctica
KTD69498.1	AVR58_00105	1.45e-89	159	78.616	100	159	KTD69498.1 alpha helix protein 	L. steelei
STX71540.1	AVR58_00105	2.26e-87	159	77.987	100	159	STX71540.1 alpha helix protein 	L. parisiensis
STY21461.1	AVR58_00105	5.42e-87	159	76.730	100	159	STY21461.1 alpha helix protein 	L. steigerwaltii
STX40763.1	AVR58_00105	2.25e-85	158	74.051	99	159	STX40763.1 alpha helix protein 	L. gratiana
CEG55514.1	AVR58_00105	3.53e-85	159	74.843	100	159	CEG55514.1 conserved protein of unknown function 	L. fallonii LLAP-10
STY32177.1	AVR58_00105	1.23e-84	158	73.418	99	159	STY32177.1 alpha helix protein 	L. worsleiensis
SNU93853.1	AVR58_00105	1.75e-83	159	72.327	100	159	SNU93853.1 alpha helix protein 	L. waltersii
EHL32517.1	AVR58_00105	5.72e-82	158	80.380	99	159	EHL32517.1 hypothetical protein LDG_5473 	L. drancourtii LLAP12
USQ13789.1	AVR58_00105	7.86e-82	158	81.013	99	159	USQ13789.1 ribosome-associated protein 	L. lytica
STX36880.1	AVR58_00105	1.69e-79	158	72.152	99	158	STX36880.1 alpha helix protein 	L. feeleii
STY27862.1	AVR58_00105	2.17e-79	158	78.481	99	159	STY27862.1 alpha helix protein 	L. wadsworthii
STX40281.1	AVR58_00105	5.16e-79	158	71.519	99	158	STX40281.1 alpha helix protein 	L. donaldsonii
RUR23085.1	AVR58_00105	2.42e-78	159	76.101	100	159	RUR23085.1 ribosome-associated protein 	L. qingyii
STO32396.1	AVR58_00105	2.89e-78	158	77.215	99	159	STO32396.1 x96 protein 	L. bozemanae
AWN72846.1	AVR58_00105	3.44e-78	158	77.215	99	159	AWN72846.1 ribosome-associated protein 	L. anisa
KTD53535.1	AVR58_00105	4.47e-78	158	75.949	99	159	KTD53535.1 alpha helix protein 	L. santicrucis
STX33467.1	AVR58_00105	4.62e-77	158	74.051	99	159	STX33467.1 alpha helix protein 	L. cincinnatiensis
WED42904.1	AVR58_00105	1.82e-76	158	68.354	99	159	WED42904.1 ribosome biogenesis factor YjgA 	L. cardiaca
CBJ10371.1	AVR58_00105	1.94e-76	158	74.684	99	159	CBJ10371.1 putative conserved hypothetical protein 	L. longbeachae NSW150
AUH71411.1	AVR58_00105	5.37e-76	156	74.359	98	159	AUH71411.1 ribosome-associated protein 	L. sainthelensi
ASQ47484.1	AVR58_00105	9.40e-76	158	68.354	99	159	ASQ47484.1 hypothetical protein clem_14795 	L. clemsonensis
KTC84921.1	AVR58_00105	1.01e-75	158	67.722	99	159	KTC84921.1 alpha helix protein 	L. brunensis
SFL61469.1	AVR58_00105	6.61e-75	158	67.722	99	159	SFL61469.1 ribosome-associated protein 	L. jamestowniensis DSM 19215
CEK09148.1	AVR58_00105	7.69e-74	155	68.387	97	159	CEK09148.1 conserved protein of unknown function 	L. hackeliae
CEG59390.1	AVR58_00105	1.07e-73	158	68.354	99	159	CEG59390.1 conserved protein of unknown function 	L. micdadei
KTD38256.1	AVR58_00105	3.16e-73	158	65.190	99	159	KTD38256.1 alpha helix protein 	L. oakridgensis
KTC94660.1	AVR58_00105	7.26e-73	158	64.557	99	158	KTC94660.1 alpha helix protein 	L. erythra
STY24664.1	AVR58_00105	1.60e-72	158	65.190	99	158	STY24664.1 alpha helix protein 	L. taurinensis
SUO99246.1	AVR58_00105	3.40e-72	158	66.456	99	159	SUO99246.1 x96 protein 	L. maceachernii
CEE11892.1	AVR58_00105	9.32e-72	158	70.886	99	159	CEE11892.1 hypothetical protein BN1094_00420 	L. massiliensis
SNV43214.1	AVR58_00105	1.09e-71	159	66.667	99	159	SNV43214.1 alpha helix protein 	L. lansingensis
KTD36496.1	AVR58_00105	2.61e-71	158	65.823	99	162	KTD36496.1 alpha helix protein 	L. nautarum
RUR11461.1	AVR58_00105	4.40e-70	155	67.742	97	159	RUR11461.1 DUF615 domain-containing protein 	L. septentrionalis
KTC64783.1	AVR58_00105	5.54e-70	158	65.190	99	159	KTC64783.1 alpha helix protein 	L. adelaidensis
VEG91606.1	AVR58_00105	2.90e-69	158	63.291	99	158	VEG91606.1 alpha helix protein 	L. spiritensis
KTD51940.1	AVR58_00105	4.39e-66	157	62.420	99	160	KTD51940.1 alpha helix protein 	L. quinlivanii
STX50046.1	AVR58_00105	8.57e-66	157	63.057	99	159	STX50046.1 alpha helix protein 	L. busanensis
QDP71587.1	AVR58_00105	1.22e-65	159	61.006	100	159	QDP71587.1 DUF615 domain-containing protein 	L. israelensis
STX92156.1	AVR58_00105	1.56e-65	159	61.635	100	159	STX92156.1 alpha helix protein 	L. londiniensis
STX30288.1	AVR58_00105	1.41e-64	157	62.420	99	161	STX30288.1 alpha helix protein 	L. birminghamensis
VEH11205.1	AVR58_00105	8.35e-60	158	61.392	99	158	VEH11205.1 alpha helix protein 	L. jordanis
STX30147.1	AVR58_00105	6.17e-59	158	55.696	99	160	STX30147.1 alpha helix protein 	L. beliardensis
QBS13408.1	AVR58_00105	2.70e-53	158	52.532	99	159	QBS13408.1 DUF615 domain-containing protein 	L. geestiana
AOU47734.1	AVR58_00150	0.0	296	100.000	100	296	AOU47734.1 hypothetical protein A9E85_00150 	L. pneumophila
MBL7481533.1	AVR58_00150	6.35e-53	186	47.849	98	372	MBL7481533.1 hypothetical protein IZU94_16345 	L. sp. 27fs60
MBL7481533.1	AVR58_00150	2.20e-10	135	31.852	98	372	MBL7481533.1 hypothetical protein IZU94_16345 	L. sp. 27fs60
STY16261.1	AVR58_00150	9.48e-52	169	50.296	98	388	STY16261.1 Uncharacterised protein 	L. quateirensis
STY16261.1	AVR58_00150	9.34e-11	162	33.333	98	388	STY16261.1 Uncharacterised protein 	L. quateirensis
STX61134.1	AVR58_00150	2.26e-49	130	59.231	87	352	STX61134.1 Uncharacterised protein 	L. moravica
STX61134.1	AVR58_00150	1.96e-12	130	32.308	87	352	STX61134.1 Uncharacterised protein 	L. moravica
SNU93899.1	AVR58_00150	2.73e-39	325	31.692	95	318	SNU93899.1 Uncharacterised protein 	L. waltersii
SNV11520.1	AVR58_00150	2.03e-17	126	39.683	42	559	SNV11520.1 Dot/Icm T4SS effector 	L. waltersii
SFL61560.1	AVR58_00150	9.90e-11	160	31.875	52	232	SFL61560.1 hypothetical protein SAMN02746073_1063 	L. jamestowniensis DSM 19215
WED42036.1	AVR58_00150	1.71e-10	105	36.190	35	495	WED42036.1 PP2C family serine/threonine-protein phosphatase 	L. cardiaca
VEH11486.1	AVR58_00150	3.94e-10	156	31.410	49	470	VEH11486.1 Uncharacterised protein 	L. jordanis
KTC84917.1	AVR58_00150	5.58e-10	190	31.053	58	264	KTC84917.1 hypothetical protein Lbru_1132 	L. brunensis
CEG55567.1	AVR58_00150	2.28e-09	106	35.849	36	808	CEG55567.1 protein of unknown function 	L. fallonii LLAP-10
STX27796.1	AVR58_00150	4.66e-09	138	34.783	44	718	STX27796.1 Uncharacterised protein 	L. beliardensis
KTC77876.1	AVR58_00150	4.71e-09	101	36.634	32	579	KTC77876.1 hypothetical protein Lbru_2769 	L. brunensis
WED42901.1	AVR58_00150	1.90e-08	231	27.273	78	256	WED42901.1 hypothetical protein PXX05_13510 	L. cardiaca
SNV43246.1	AVR58_00150	1.97e-08	126	32.540	42	300	SNV43246.1 Uncharacterised protein 	L. lansingensis
STY22095.1	AVR58_00150	5.43e-08	94	36.170	32	445	STY22095.1 Dot/Icm secretion system substrate 	L. steigerwaltii
CEK09152.1	AVR58_00150	4.76e-07	152	28.947	51	232	CEK09152.1 protein of unknown function 	L. hackeliae
WED42574.1	AVR58_00150	6.16e-07	104	30.769	33	726	WED42574.1 hypothetical protein PXX05_11735 	L. cardiaca
CEG62143.1	AVR58_00150	7.28e-07	107	33.645	35	511	CEG62143.1 protein of unknown function 	coiled-coil 	L. micdadei
BCA96584.1	AVR58_00150	7.94e-07	163	28.221	54	249	BCA96584.1 hypothetical protein TUM19329_29450 	L. antarctica
STY25514.1	AVR58_00150	1.33e-06	94	37.234	32	646	STY25514.1 Uncharacterised protein 	L. taurinensis
AOU49970.1	AVR58_00150	1.92e-06	173	25.434	56	266	AOU49970.1 hypothetical protein A9E85_12190 	L. pneumophila
KTD33294.1	AVR58_00150	3.71e-06	134	31.343	42	485	KTD33294.1 hypothetical protein Lnau_2942 	L. nautarum
VEG91968.1	AVR58_00150	3.89e-06	129	31.008	41	151	VEG91968.1 Uncharacterised protein 	L. spiritensis
KTC99589.1	AVR58_00150	4.90e-06	103	34.951	35	655	KTC99589.1 hypothetical protein Lery_0490 	L. erythra
STX92624.1	AVR58_00150	6.66e-06	123	30.081	40	517	STX92624.1 Uncharacterised protein 	L. londiniensis
EHL29958.1	AVR58_00150	7.45e-06	94	31.915	32	464	EHL29958.1 hypothetical protein LDG_8251 	L. drancourtii LLAP12
CEK09500.1	AVR58_00150	1.07e-05	150	28.667	48	560	CEK09500.1 protein of unknown function 	L. hackeliae
ASQ47480.1	AVR58_00150	1.17e-05	152	27.632	51	232	ASQ47480.1 hypothetical protein clem_14775 	L. clemsonensis
MCL9684931.1	AVR58_00150	1.17e-05	122	27.049	41	242	MCL9684931.1 hypothetical protein LOX96_12565 	L. sp. HCPI-6
RUR09241.1	AVR58_00150	1.64e-05	128	28.125	42	522	RUR09241.1 hypothetical protein ELY14_09170 	L. septentrionalis
KTC66270.1	AVR58_00150	3.35e-05	96	35.417	32	340	KTC66270.1 leucine-rich repeat-containing protein 	L. adelaidensis
STY16910.1	AVR58_00150	8.74e-05	134	32.090	44	247	STY16910.1 Uncharacterised protein 	L. quateirensis
STY28568.1	AVR58_00150	4.03e-04	120	26.667	41	247	STY28568.1 Uncharacterised protein 	L. wadsworthii
RUR26395.1	AVR58_00150	5.96e-04	185	24.865	59	243	RUR26395.1 hypothetical protein ELY20_00275 	L. qingyii
QBS11872.1	AVR58_00150	0.001	109	34.862	35	2127	QBS11872.1 hypothetical protein E4T54_03420 	L. geestiana
SNV05853.1	AVR58_00150	0.004	97	32.990	32	263	SNV05853.1 Uncharacterised protein 	L. waltersii
STX33605.1	AVR58_00150	0.004	129	29.457	43	601	STX33605.1 Uncharacterised protein 	L. cincinnatiensis
